Rk,Player,Pos,Age,Tm?,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
172,Delon Wright\wrighde01,PG,25,TOR,10,0,215,31,68,.456,9,21,.429,22,47,.468,.522,15,16,.938,3,19,22,23,15,9,9,10,86
173,Fred VanVleet\vanvlfr01,PG,23,TOR,6,1,114,13,39,.333,8,28,.286,5,11,.455,.436,7,8,.875,0,10,10,13,0,0,4,8,41
174,Jonas Valanciunas\valanjo01,C,25,TOR,10,9,244,58,107,.542,2,5,.400,56,102,.549,.551,28,34,.824,30,75,105,12,4,15,19,22,146
175,Pascal Siakam\siakapa01,PF,23,TOR,10,0,179,25,41,.610,3,4,.750,22,37,.595,.646,13,20,.650,9,27,36,8,1,6,7,27,66
176,Norman Powell\powelno01,SG,24,TOR,6,0,40,4,14,.286,1,7,.143,3,7,.429,.321,3,4,.750,0,2,2,2,0,0,1,4,12
177,Jakob Poeltl\poeltja01,C,22,TOR,9,0,140,17,31,.548,0,1,.000,17,30,.567,.548,15,19,.789,15,21,36,6,3,4,8,25,49
178,Lucas Nogueira\noguelu01,C,25,TOR,5,0,24,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,0,1,1,1,0,0,3,6,1
179,C.J. Miles\milescj01,SF,30,TOR,10,1,227,32,71,.451,19,45,.422,13,26,.500,.585,13,16,.813,6,18,24,8,7,3,9,21,96
180,Kyle Lowry\lowryky01,PG,31,TOR,10,10,361,60,118,.508,28,63,.444,32,55,.582,.627,26,32,.813,2,41,43,85,15,0,31,33,174
181,Serge Ibaka\ibakase01,PF,28,TOR,10,9,260,30,72,.417,9,24,.375,21,48,.438,.479,18,22,.818,13,46,59,11,1,13,16,21,87
182,DeMar DeRozan\derozde01,SG,28,TOR,10,10,354,87,199,.437,10,35,.286,77,164,.470,.462,43,53,.811,6,30,36,40,5,6,23,24,227
183,Lorenzo Brown\brownlo01,PG,27,TOR,4,0,29,3,10,.300,2,5,.400,1,5,.200,.400,1,2,.500,1,5,6,2,0,1,1,2,9
184,OG Anunoby\anunoog01,SF,20,TOR,10,10,238,29,52,.558,13,29,.448,16,23,.696,.683,8,11,.727,9,12,21,7,6,4,6,23,79
185,Ekpe Udoh\udohek01,C,30,UTA,6,0,21,1,1,1.000,0,0,,1,1,1.000,1.000,0,4,.000,1,2,3,0,0,2,1,2,2
186,David Stockton\stockda01,PG,26,UTA,2,0,6,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,1,1,0,0,0,0,1,2
187,Ricky Rubio\rubiori01,PG,27,UTA,6,6,181,28,79,.354,10,32,.313,18,47,.383,.418,18,23,.783,5,39,44,42,8,3,18,13,84
188,Royce O'Neale\onealro01,SF,24,UTA,11,5,259,28,56,.500,10,28,.357,18,28,.643,.589,12,19,.632,3,35,38,15,10,4,16,30,78
189,Raul Neto\netora01,PG,25,UTA,8,0,72,7,23,.304,2,7,.286,5,16,.313,.348,5,5,1.000,2,8,10,10,2,0,4,7,21
190,Donovan Mitchell\mitchdo01,SG,21,UTA,11,11,411,102,243,.420,25,80,.313,77,163,.472,.471,39,43,.907,9,56,65,46,16,4,32,35,268
191,Jonas Jerebko\jerebjo01,PF,30,UTA,10,0,79,8,19,.421,1,6,.167,7,13,.538,.447,2,2,1.000,4,12,16,3,3,0,1,9,19
192,Joe Ingles\inglejo01,SF,30,UTA,11,11,382,57,121,.471,35,77,.455,22,44,.500,.616,11,17,.647,5,43,48,37,6,2,26,29,160
193,Rudy Gobert\goberru01,C,25,UTA,11,11,383,55,84,.655,0,0,,55,84,.655,.655,35,58,.603,43,75,118,11,10,25,21,34,145
194,Derrick Favors\favorde01,C,26,UTA,11,9,286,42,68,.618,2,5,.400,40,63,.635,.632,16,33,.485,20,37,57,13,8,11,10,17,102
195,Dante Exum\exumda01,PG,22,UTA,10,0,114,20,41,.488,2,7,.286,18,34,.529,.512,9,12,.750,4,10,14,10,1,1,15,15,51
196,Jae Crowder\crowdja01,SF,27,UTA,11,2,323,35,108,.324,22,66,.333,13,42,.310,.426,18,28,.643,4,52,56,19,15,2,14,25,110
197,Alec Burks\burksal01,SG,26,UTA,9,0,120,30,64,.469,9,20,.450,21,44,.477,.539,13,15,.867,2,22,24,17,4,1,8,9,82
198,Tony Bradley\bradlto01,C,20,UTA,1,0,2,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,0,1,0,0,0,0,0,2
199,John Wall\walljo01,PG,27,WAS,6,6,234,56,127,.441,4,21,.190,52,106,.491,.457,40,47,.851,3,31,34,69,14,8,27,16,156
200,Jason Smith\smithja02,C,31,WAS,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
201,Mike Scott\scottmi01,PF,29,WAS,6,0,126,26,41,.634,7,11,.636,19,30,.633,.720,6,6,1.000,6,15,21,4,2,1,5,10,65
202,Tomas Satoransky\satorto01,SG,26,WAS,6,0,60,2,13,.154,0,3,.000,2,10,.200,.154,3,4,.750,5,4,9,3,0,0,3,4,7
203,Otto Porter\porteot01,SF,24,WAS,5,5,158,20,41,.488,5,12,.417,15,29,.517,.549,5,8,.625,1,24,25,8,6,5,3,6,50
204,Kelly Oubre\oubreke01,SF,22,WAS,6,1,148,18,48,.375,4,19,.211,14,29,.483,.417,16,18,.889,1,22,23,4,6,3,5,16,56
205,Markieff Morris\morrima02,PF,28,WAS,6,6,181,24,49,.490,2,12,.167,22,37,.595,.510,9,10,.900,14,31,45,10,4,5,6,22,59
206,Ian Mahinmi\mahinia01,C,31,WAS,6,0,52,10,14,.714,0,0,,10,14,.714,.714,10,11,.909,4,7,11,1,4,5,1,10,30
207,Ty Lawson\lawsoty01,PG,30,WAS,5,0,96,9,26,.346,5,8,.625,4,18,.222,.442,6,6,1.000,2,11,13,15,3,0,3,6,29
208,Marcin Gortat\gortama01,C,33,WAS,6,6,160,24,43,.558,0,0,,24,43,.558,.558,4,7,.571,13,25,38,6,0,2,6,15,52
209,Tim Frazier\fraziti01,PG,27,WAS,2,0,6,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,3,1,0,0,2,0
210,Bradley Beal\bealbr01,SG,24,WAS,6,6,216,49,108,.454,21,45,.467,28,63,.444,.551,20,23,.870,2,18,20,17,7,2,15,19,139
