Rk,Player,Pos,Age,Tm?,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
39,Quinn Cook\cookqu01,PG,24,GSW,17,0,175,30,67,.448,7,31,.226,23,36,.639,.500,14,17,.824,2,21,23,11,4,2,5,13,81
40,Jordan Bell\belljo01,C,23,GSW,17,0,173,17,32,.531,0,1,.000,17,31,.548,.531,7,14,.500,15,32,47,15,6,9,6,18,41
41,P.J. Tucker\tuckepj01,PF,32,HOU,17,17,569,52,108,.481,35,75,.467,17,33,.515,.644,12,18,.667,23,88,111,22,11,13,14,46,151
42,Zhou Qi\qizh01,C,22,HOU,3,0,6,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,0,0,0,0,0,2
43,Chris Paul\paulch01,PG,32,HOU,15,15,517,118,257,.459,37,99,.374,81,158,.513,.531,44,53,.830,9,80,89,87,30,4,28,47,317
44,Chinanu Onuaku\onuakch01,C,21,HOU,1,0,3,0,0,,0,0,,0,0,,,0,0,,1,0,1,1,1,0,0,1,0
45,Luc Mbah a Moute\mbahalu01,PF,31,HOU,9,0,149,9,36,.250,3,15,.200,6,21,.286,.292,4,7,.571,3,19,22,3,6,4,6,8,25
46,Joe Johnson\johnsjo02,SF,36,HOU,8,0,54,6,17,.353,0,3,.000,6,14,.429,.353,0,0,,0,10,10,3,0,1,3,4,12
47,Aaron Jackson\jacksaa01,PG,31,HOU,7,0,17,2,4,.500,0,2,.000,2,2,1.000,.500,1,2,.500,2,2,4,2,0,0,2,2,5
48,Nene Hilario\hilarne01,C,35,HOU,11,0,107,12,20,.600,0,0,,12,20,.600,.600,7,11,.636,6,22,28,5,2,5,8,18,31
49,James Harden\hardeja01,SG,28,HOU,17,17,621,158,385,.410,52,174,.299,106,211,.502,.478,118,133,.887,14,75,89,116,38,11,65,46,486
